Year,Area,Street,Street 2,Strange HTML
2011,," Shakespeareí«PH,í«Newí«Stí«Station"," Shakespeare PH, New St Station",
2011,," Sheepcoteí«Street,í«Birmingham"," Sheepcote Street, Birmingham",
2011,," Siohoí«Road,í«Handsworth"," Sioho Road, Handsworth",
2011,," Sladeí«Road,í«erdington"," Slade Road, erdington",
2011,,Smallí«brookí«Queensway,Small brook Queensway,
2011,,Smallbrookí«Queensway,Smallbrook Queensway,
2011,,smallbrookí«queensway,smallbrook queensway,
2011,,smallbrookí«queensway,smallbrook queensway,
2011,,Smallbrookí«Queenswayí«Cityí«Centreí«Birmingham,Smallbrook Queensway City Centre Birmingham,
2011,," Smallbrookí«Queensway,Cityí«centre"," Smallbrook Queensway,City centre",
2011,,smethwickí«end,smethwick end,
2011,,sohoí«hill,soho hill,
2011,," Sohoí«Hill,í«Handsworth,í«Birmingham"," Soho Hill, Handsworth, Birmingham",
2011,,Sohoí«Road,Soho Road,
2011,,Sohoí«Road,Soho Road,
2011,,Sohoí«Road,Soho Road,
2011,,sohoí«road,soho road,
2011,," Sommerfieldí«Park,í«Winsoní«Green"," Sommerfield Park, Winson Green",
2011,,squareí«pegí«PH,square peg PH,
2011,," Squareí«Peg,Corporationí«Street"," Square Peg,Corporation Street",
2011,," Starí«city,í«Aston."," Star city, Aston.",
2011,," Starí«City,í«Birmingham"," Star City, Birmingham",
2011,," Starí«City,í«Nechells"," Star City, Nechells",
2011,," Stationí«Road,í«Cityí«Centre"," Station Road, City Centre",
2011,,Steelhouseí«Lane,Steelhouse Lane,
2011,,Steelhouseí«Lane,Steelhouse Lane,
2011,,Steelhouseí«Lane,Steelhouse Lane,
2011,,Steelhouseí«Lane,Steelhouse Lane,
2011,,Steelhouseí«Lane,Steelhouse Lane,
2011,,steelhouseí«lane,steelhouse lane,
2011,,steelhouseí«lane,steelhouse lane,
2011,,Steelhouseí«Lane,Steelhouse Lane,
2011,,Steelhouseí«Laneí«Policeí«station,Steelhouse Lane Police station,
2011,," Steelhouseí«Lane,í«Birmingham"," Steelhouse Lane, Birmingham",
2011,," Steelhouseí«Lane,í«Cityí«Centre,í«Birmingham"," Steelhouse Lane, City Centre, Birmingham",
2011,,Stephensoní«St,Stephenson St,
2011,,Stephensoní«Street,Stephenson Street,
2011,," Stephensoní«Street,í«Birminghamí«City"," Stephenson Street, Birmingham City",
2011,," Stephensoní«Street,í«Cityí«Centre"," Stephenson Street, City Centre",
2011,,Stephensonsí«Street,Stephensons Street,
2011,,Suffolkí«Stí«Queensway,Suffolk St Queensway,
2011,," Sugarí«Suite,í«Broadí«Street"," Sugar Suite, Broad Street",
2011,,summerí«lane,summer lane,
2011,,summerí«row,summer row,
2011,,Templeí«Row,Temple Row,
2011,,templeí«row,temple row,
2011,,Tennantí«St,Tennant St,
2011,," Terraceí«Road,í«Handsworth"," Terrace Road, Handsworth",
2011,,tescoí«astoní«lane,tesco aston lane,
2011,,Tescoí«SpringHill,Tesco SpringHill,
2011,,Theí«Paradeí«Suttoní«Coldfield,The Parade Sutton Coldfield,
2011,," Theí«Parade,í«Suttoní«Coldfield"," The Parade, Sutton Coldfield",
2011,," Theí«Ramp,í«Corporationí«St,í«Birmingham"," The Ramp, Corporation St, Birmingham",
2011,,Theí«Ramp.,The Ramp.,
2011,," Thornhillí«Road,í«Birmingham"," Thornhill Road, Birmingham",
2011,," Thornhillí«Road,í«Handsworth"," Thornhill Road, Handsworth",
2011,,Thorpeí«Stí«atí«Hurstí«St,Thorpe St at Hurst St,
2011,,Thorpeí«Street,Thorpe Street,
2011,,Trocaderoí«Publicí«houseí«o/s,Trocadero Public house o/s,
2011,," Turnersí«Pallets,í«Hayholeí«road"," Turners Pallets, Hayhole road",
2011,,upperí«deaní«street,upper dean street,
2011,," Upperí«Deaní«Street,í«Birmingham"," Upper Dean Street, Birmingham",
2011,," Upperí«Deaní«Street,í«Birminghamí«Cityí«Centre"," Upper Dean Street, Birmingham City Centre",
2011,," Upperí«Deaní«Street,í«Cityí«Centre"," Upper Dean Street, City Centre",
2011,,Upperí«paradeí«Suttoní«Coldfield,Upper parade Sutton Coldfield,
2011,,Upperí«Paradeí«Suttoní«Coldfield,Upper Parade Sutton Coldfield,
2011,," victoriaí«square,í«í«bham"," victoria square,  bham",
2011,," Victoriaí«Square,í«Cityí«Centre."," Victoria Square, City Centre.",
2011,," Waiverleyí«park,Handsworth"," Waiverley park,Handsworth",
2011,,walkaboutí«barí«broadí«st,walkabout bar broad st,
2011,," Walkaboutí«PH,í«Broadí«St,í«Birmingham"," Walkabout PH, Broad St, Birmingham",
2011,," Walkaboutí«PH,í«Broadí«Street,í«Birmingham"," Walkabout PH, Broad Street, Birmingham",
2011,," Walkabout,í«Broadí«Street"," Walkabout, Broad Street",
2011,," Walsallí«road,í«í«greatí«barr"," Walsall road,  great barr",
2011,," Walsallí«Road,í«Perryí«Barr"," Walsall Road, Perry Barr",
2011,,warfí«roadí«kingsí«norton,warf road kings norton,
2011,,Warwardsí«Lane,Warwards Lane,
2011,," Washingtoní«Drive,í«Handsworthí«Wood"," Washington Drive, Handsworth Wood",
2011,,Washingtoní«Street,Washington Street,
2011,," Waterlooí«Road,í«Smethwick"," Waterloo Road, Smethwick",
2011,," Waverhillí«Park,í«Handsworth"," Waverhill Park, Handsworth",
2011,," Waverhillí«Road,í«Handsworth"," Waverhill Road, Handsworth",
2011,,wayí«entranceí«villaí«ground,way entrance villa ground,
2011,,Wellingtoní«Road,Wellington Road,
2011,,Wittoní«Arms,Witton Arms,
2011,,Wittoní«Road,Witton Road,
2011,,Wittoní«Road,Witton Road,
2011,,Wittoní«Roadí«Aston,Witton Road Aston,
2011,,Wrottesleyí«Street,Wrottesley Street,
2011,Coventry,primroseí«hillí«Coventry,primrose hill Coventry,
2011,,Albanyí«road,Albany road,
2011,,Aldbourneí«Road,Aldbourne Road,
2011,,aldermansí«greení«road,aldermans green road,
2011,,Allesleyí«Oldí«Road,Allesley Old Road,
2011,,Almondí«Treeí«Avenue,Almond Tree Avenue,
2011,,arburyí«aveí«Coventry,arbury ave Coventry,
2011,,Arenaí«carparkí«A444,Arena carpark A444,
2011,,argyleí«stí«Coventry,argyle st Coventry,
2011,,Armstrongí«Avenueí«Stoke,Armstrong Avenue Stoke,
2011,,Ashorneí«Close,Ashorne Close,
2011,,Attoxhallí«Rd,Attoxhall Rd,
2011,," averleyí«roadí«,í«daimlerí«green"," averley road , daimler green",
2011,,Awsoní«Street,Awson Street,
2011,," Bandalsí«Surgery,í«Foleshillí«Road"," Bandals Surgery, Foleshill Road",
2011,,bellí«greení«rdí«Junctioní«A444,bell green rd Junction A444,
2011,," Bellí«Greení«Road,í«Coventry"," Bell Green Road, Coventry",
2011,," Bellí«Greení«Road,í«Coventry"," Bell Green Road, Coventry",
2011,,Binleyí«Road,Binley Road,
2011,,Binleyí«Road,Binley Road,
2011,,Binleyí«Road,Binley Road,
2011,,Binleyí«Road,Binley Road,
2011,,bishopí«street,bishop street,
2011,,Blackhorseí«lane,Blackhorse lane,
2011,,Blytheí«Road,Blythe Road,
2011,,BPí«Garageí«Anstyí«road,BP Garage Ansty road,
2011,,brambleí«stí«coventry,bramble st coventry,
2011,," Braodí«Parkí«Road,í«Coventry"," Braod Park Road, Coventry",
2011,," Bredoní«Ave,í«Coventry"," Bredon Ave, Coventry",
2011,,Broadgate,Broadgate,
2011,,Bullí«Yard,Bull Yard,
2011,,Bushberryí«Avenue,Bushberry Avenue,
2011,,buttsí«roadí«Coventry,butts road Coventry,
2011,,cashsí«lane,cashs lane,
2011,,Cauldoní«road,Cauldon road,
2011,,Charterí«Ave,Charter Ave,
2011,,charterí«aveí«Coventry,charter ave Coventry,
2011,,Chesterí«Street,Chester Street,
2011,,Chestertoní«Road,Chesterton Road,
2011,," Cheveralí«Ave,í«Coventry"," Cheveral Ave, Coventry",
2011,,Cliffbridgeí«Road,Cliffbridge Road,
2011,," Cliftoní«Stí«,Coventry."," Clifton St ,Coventry.",
2011,,Cocí«street,Coc street,
2011,," Communalí«landingí«atí«Georgeí«Pooleí«House,í«Coventry"," Communal landing at George Poole House, Coventry",
2011,,Comptoní«road,Compton road,
2011,,concourseí«nearí«mortimers,concourse near mortimers,
2011,,cookí«st,cook st,
2011,,Corporationí«St,Corporation St,
2011,," Corporationí«Stí«,Coventry."," Corporation St ,Coventry.",
2011,,Corporationí«Street,Corporation Street,
2011,,Coundoní«road,Coundon road,
2011,,coventry,coventry,
2011,,Coventryí«Centralí«cells,Coventry Central cells,
2011,,Coventryí«Centralí«Frontí«office,Coventry Central Front office,
2011,,coventryí«centralí«polí«stn,coventry central pol stn,
2011,,coventryí«centralí«policeí«station,coventry central police station,
2011,,coventryí«centralí«policeí«station,coventry central police station,
2011,,Coventryí«Centralí«PS,Coventry Central PS,
2011,,Coventryí«Centralí«PS,Coventry Central PS,
2011,,Coventryí«Railwatí«Station.,Coventry Railwat Station.,
2011,,Coventryí«Railwayí«Station.,Coventry Railway Station.,
2011,,coventryí«trainí«station,coventry train station,
2011,,Coxí«street,Cox street,
2011,,Crossí«Road,Cross Road,
2011,,devonshireí«arms,devonshire arms,
2011,,duckhamí«court,duckham court,
2011,,Earlsdoní«Highí«Street,Earlsdon High Street,
2011,," Elmsí«Pub,í«Birminghamí«road"," Elms Pub, Birmingham road",
2011,,fairfaxí«street,fairfax street,
2011,,farí«gosfordí«street,far gosford street,
2011,,Farí«Gosfordí«Street,Far Gosford Street,
2011,,Farndaleí«Ave,Farndale Ave,
2011,,Farndaleí«Ave,Farndale Ave,
2011,,Foleshillí«Rd,Foleshill Rd,
2011,,Foleshillí«Road,Foleshill Road,
2011,,Foleshillí«Road,Foleshill Road,
2011,,Foleshillí«Road,Foleshill Road,
2011,," Foleshillí«road,í«Coventry"," Foleshill road, Coventry",
2011,," Fourí«Poundsí«Ave,í«Coventry"," Four Pounds Ave, Coventry",
2011,,FRiarsí«road,FRiars road,
2011,,frontí«ofí«Coventryí«Centralí«policeí«Station,front of Coventry Central police Station,
2011,,Frontí«office,Front office,
2011,,Frontí«Office,Front Office,
2011,," Galaí«Bingo,í«Poolí«Meadow"," Gala Bingo, Pool Meadow",
2011,,Gosfordí«Street,Gosford Street,
2011,,Gosfordí«street,Gosford street,
2011,,Gosfordí«Street,Gosford Street,
2011,,greyfriarsí«stí«Coventry,greyfriars st Coventry,
2011,,gulsoní«roadí«Coventry,gulson road Coventry,
2011,,Gulsoní«Roadí«Coventry,Gulson Road Coventry,
2011,,haleí«st,hale st,
2011,," Halesí«Street,í«Coventry"," Hales Street, Coventry",
2011,,Hartfrodí«street,Hartfrod street,
2011,,hayleí«street,hayle street,
2011,,haylesí«street,hayles street,
2011,,Hedgefieldí«Way,Hedgefield Way,
2011,,heraldí«wayí«Coventry,herald way Coventry,
2011,,highí«stí«Coventry,high st Coventry,
2011,,Highí«Street,High Street,
2011,,Highí«Street,High Street,
2011,,Hillí«Street,Hill Street,
2011,,Hipswellí«Highway,Hipswell Highway,
2011,,holmesdaleí«road,holmesdale road,
2011,,hurstí«Road,hurst Road,
2011,,ibisí«hotel,ibis hotel,
2011,,Ikeaí«Carí«Park,Ikea Car Park,
2011,,ikeaí«plaza,ikea plaza,
2011,,ironí«mongerí«row,iron monger row,
2011,,jardineí«crescent,jardine crescent,
2011,,jardineí«crescent,jardine crescent,
2011,,Jasrdineí«Crescent,Jasrdine Crescent,
2011,,JDí«Wetherspooní«Earlsdon,JD Wetherspoon Earlsdon,
2011,,Jordaní«Well,Jordan Well,
2011,," Jordaní«Wellí«,í«Coventry"," Jordan Well , Coventry",
2011,,Jubileeí«cresent,Jubilee cresent,
2011,,Kirbyí«Road,Kirby Road,
2011,,Ladyí«Lane,Lady Lane,
2011,,Lambethí«Close,Lambeth Close,
2011,,Leaderí«Close,Leader Close,
2011,,Lidiceí«Place,Lidice Place,
2011,," Lincolní«Streetí«,Coventry"," Lincoln Street ,Coventry",
2011,,Littlí«Parkí«Street,Littl Park Street,
2011,," Littleí«parkí«stí«,Coventry."," Little park st ,Coventry.",
2011,," Littleí«Parkí«Stí«,Coventry."," Little Park St ,Coventry.",
2011,,littleí«parkí«stí«Coventry,little park st Coventry,
2011,,Littleí«Parkí«Street,Little Park Street,
2011,,Littleí«Parkí«Street,Little Park Street,
2011,,Littleí«Parkí«street,Little Park street,
2011,,littleí«parkí«street,little park street,
2011,,Littleí«Parkí«Street,Little Park Street,
2011,,Littleí«Parkí«Street,Little Park Street,
2011,,Littleí«Parkí«Street,Little Park Street,
2011,,Littleí«Parkí«Street,Little Park Street,
2011,,littleí«parkí«street,little park street,
2011,,Londoní«Road,London Road,
2011,,Londoní«Road,London Road,
2011,,Longfordí«Road,Longford Road,
2011,,Lowerí«Fordí«st,Lower Ford st,
2011,,lowerí«fordí«street,lower ford street,
2011,,lowerí«holyheadí«dí«jtní«withí«sponí«st,lower holyhead d jtn with spon st,
2011,,lowerí«holyheadí«rdí«Coventry,lower holyhead rd Coventry,
2011,,lowerí«holyheadí«roadí«Coventry,lower holyhead road Coventry,
2011,,Lowerí«Precinctí«Coventry,Lower Precinct Coventry,
2011,,MAFO,MAFO,
2011,,Manorí«houseí«drive,Manor house drive,
2011,,Marketí«Way,Market Way,
2011,,maryí«slessorí«st,mary slessor st,
2011,,masserí«road,masser road,
2011,," McDonaldsí«Restaurantí«A45í«,Coventry."," McDonalds Restaurant A45 ,Coventry.",
2011,," Memorialí«Park,í«Coventry"," Memorial Park, Coventry",
2011,,Middleí«Ride,Middle Ride,
2011,,Mileí«Lane,Mile Lane,
2011,,Mileí«lane,Mile lane,
2011,,Milleniumí«Place,Millenium Place,
2011,,Milleniumí«Place,Millenium Place,
2011,," Mintí«Casino,í«Kingí«Williamí«Street"," Mint Casino, King William Street",
2011,,Mirandaí«Close,Miranda Close,
2011,,morrisí«road,morris road,
2011,,motorí«museum,motor museum,
2011,,newí«unioní«st,new union st,
2011,,Normaní«placeí«road,Norman place road,
2011,,Northyí«Road,Northy Road,
2011,,o/sí«CCFO,o/s CCFO,
2011,,o/sí«coventryí«centralí«policeí«station,o/s coventry central police station,
2011,,o/sí«Gosfordí«Arms,o/s Gosford Arms,
2011,,Oakí«Gosfordí«Street,Oak Gosford Street,
2011,,Outsideí«Coventryí«Centralí«PS,Outside Coventry Central PS,
2011,,Outsideí«Foleshillí«PS,Outside Foleshill PS,
2011,,Outsideí«frontí«ofí«Coventryí«Centralí«Policeí«Station.,Outside front of Coventry Central Police Station.,
2011,,Outsideí«heatí«Bar,Outside heat Bar,
2011,,outsideí«kasbars,outside kasbars,
2011,," Outsideí«ofí«theí«Jewsoní«Stand,í«Richoí«arena,í«Coventry"," Outside of the Jewson Stand, Richo arena, Coventry",
2011,,owenfordí«road,owenford road,
2011,," Palmí«Treeí«Ave,í«Woodí«End"," Palm Tree Ave, Wood End",
2011,," Palmerí«Laneí«,í«Coventry."," Palmer Lane , Coventry.",
2011,," Palmerí«Laneí«,í«Coventry."," Palmer Lane , Coventry.",
2011,," Palmerí«Laneí«,í«Coventry."," Palmer Lane , Coventry.",
2011,," Penruddickí«Drive,í«Coventry"," Penruddick Drive, Coventry",
2011,,Plymouthí«close,Plymouth close,
2011,,poolí«meadow,pool meadow,
2011,,Poolí«Meadowí«Busí«Station,Pool Meadow Bus Station,
2011,,poolí«meadowí«busí«stn,pool meadow bus stn,
2011,,Poolmeadow,Poolmeadow,
2011,,Poolmeadowí«busí«station,Poolmeadow bus station,
2011,,Poolmeadowí«busí«station,Poolmeadow bus station,
2011,," Poppyí«Court,í«Remembranceí«Road,í«Willenhall,í«Coventry"," Poppy Court, Remembrance Road, Willenhall, Coventry",
2011,,Primroseí«Hillí«St,Primrose Hill St,
2011,,Primroseí«Hillí«Street,Primrose Hill Street,
2011,,Primroseí«Hillí«Street,Primrose Hill Street,
2011,," Primroseí«Hillí«Streetí«,Coventry."," Primrose Hill Street ,Coventry.",
2011,,Princethorpeí«way,Princethorpe way,
2011,," Prioryí«Fields,í«Coventry"," Priory Fields, Coventry",
2011,,Prioryí«Gardens,Priory Gardens,
2011,,Prioryí«Street,Priory Street,
2011,,pumaí«way,puma way,
2011,," Queení«Mary'sí«Roadí«,Foleshillí«,Coventry."," Queen Mary's Road ,Foleshill ,Coventry.",
2011,,queení«marysí«roadí«Coventry,queen marys road Coventry,
2011,,Queení«Victoriaí«Road,Queen Victoria Road,
2011,,Radfordí«Road,Radford Road,
2011,,Radfordí«road,Radford road,
2011,,raglaní«street,raglan street,
2011,,Redí«lane,Red lane,
2011,,Remembranceí«Road,Remembrance Road,
2011,,richoí«areana,richo areana,
2011,,richoí«areana,richo areana,
2011,," Richoí«arena,í«Coventry"," Richo arena, Coventry",
2011,,Ricohí«Arena,Ricoh Arena,
2011,,Ricohí«Arena,Ricoh Arena,
2011,,Ricohí«Arena,Ricoh Arena,
2011,," Ridgethorpe,í«Willenhall,í«Coventry"," Ridgethorpe, Willenhall, Coventry",
2011,," Rileysí«Square,í«Bellí«Green"," Rileys Square, Bell Green",
2011,,Ringí«Rd,Ring Rd,
2011,,Riverwalkí«Walkí«Woodí«End,Riverwalk Walk Wood End,
2011,," Rolandí«Avenueí«,Holbrooksí«,Coventry."," Roland Avenue ,Holbrooks ,Coventry.",
2011,,rotherhanmí«road,rotherhanm road,
2011,," Sainsburysí«,Trinityí«Stí«,Coventry."," Sainsburys ,Trinity St ,Coventry.",
2011,,Scotsí«Lane,Scots Lane,
2011,,Sewallí«Highway,Sewall Highway,
2011,,sewallí«highway,sewall highway,
2011,,sewallí«highwayí«Coventry,sewall highway Coventry,
2011,," Silverí«Streetí«,Coventry."," Silver Street ,Coventry.",
2011,,Skyí«Blueí«Way,Sky Blue Way,
2011,,skyí«dome,sky dome,
2011,,skyí«dome,sky dome,
2011,,skyí«dome,sky dome,
2011,,skyí«dome,sky dome,
2011,,skyí«dome,sky dome,
2011,,skyí«dome,sky dome,
2011,,Skyí«dome,Sky dome,
2011,,Skyí«dome,Sky dome,
2011,,Skyí«Domeí«Concourse,Sky Dome Concourse,
2011,,Skyí«Domeí«Concourse,Sky Dome Concourse,
2011,,Skyí«Domeí«Concourse,Sky Dome Concourse,
2011,,skyí«domeí«concourse,sky dome concourse,
2011,,skyí«domeí«concourse,sky dome concourse,
2011,,skyí«domeí«concourseí«Covenmtry,sky dome concourse Covenmtry,
2011,,skyí«domeí«concourseí«Coventry,sky dome concourse Coventry,
2011,,Skyí«Domeí«concourse.,Sky Dome concourse.,
2011,," Skyí«Dome,í«Coventry"," Sky Dome, Coventry",
2011,," Skyí«Dome,í«Coventryí«Cityí«centre"," Sky Dome, Coventry City centre",
2011,,Skyí«Dome.,Sky Dome.,
2011,,skyí«dome.,sky dome.,
2011,,skyí«dome.,sky dome.,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,,skydome,skydome,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,,Skydome,Skydome,
2011,," Skydomeí«,í«Coventry."," Skydome , Coventry.",
2011,,Skydomeí«Carí«Park,Skydome Car Park,
2011,,Skydomeí«Carí«Park,Skydome Car Park,
2011,,Skydomeí«complex,Skydome complex,
2011,,Skydomeí«Complex,Skydome Complex,
2011,,skydomeí«complex,skydome complex,
2011,," Skydomeí«Complex,í«Coventry"," Skydome Complex, Coventry",
2011,,Skydomeí«concourse,Skydome concourse,
2011,,Skydomeí«concourse,Skydome concourse,
2011,,Skydomeí«concourse,Skydome concourse,
2011,,Skydomeí«Concourse,Skydome Concourse,
2011,,Skydomeí«Concourse,Skydome Concourse,
2011,,Skydomeí«Concourse,Skydome Concourse,
2011,,Skydomeí«concourse,Skydome concourse,
2011,,Skydomeí«concourse,Skydome concourse,
2011,,skydomeí«concourse,skydome concourse,
2011,,Skydomeí«concourse,Skydome concourse,
2011,,Skydomeí«concourse,Skydome concourse,
2011,,Skydomeí«concourse,Skydome concourse,
2011,,Skydomeí«Concourse,Skydome Concourse,
2011,,Skydomeí«Concourse,Skydome Concourse,
2011,,Skydomeí«concourse,Skydome concourse,
2011,," Skydomeí«concourseí«,Coventry"," Skydome concourse ,Coventry",
2011,,Skydomeí«concourse...,Skydome concourse...,
2011,,skydomeí«Coventry,skydome Coventry,
2011,,Skydomeí«Coventry,Skydome Coventry,
2011,,Skydomeí«Coventryí«Cityí«Centre,Skydome Coventry City Centre,
2011,," SkyDome,í«Coventry"," SkyDome, Coventry",
2011,," Skydome,í«Coventry"," Skydome, Coventry",
2011,,sorellí«Close,sorell Close,
2011,," Southbankí«Roadí«,Coventry."," Southbank Road ,Coventry.",
2011,,spomí«stí«coventry,spom st coventry,
2011,,Sponí«End,Spon End,
2011,," Sponí«End,í«Coventry"," Spon End, Coventry",
2011,," Sponí«Stí«,Coventry"," Spon St ,Coventry",
2011,," Sponí«Stí«,Coventry."," Spon St ,Coventry.",
2011,,SPONí«STí«Coventry,SPON ST Coventry,
2011,,sponí«stí«Coventry,spon st Coventry,
2011,,sponí«stí«Coventry,spon st Coventry,
2011,,sponí«stí«Coventry,spon st Coventry,
2011,,sponí«stí«Coventry,spon st Coventry,
2011,,sponí«stí«Coventry,spon st Coventry,
2011,,sponí«stí«Coventry,spon st Coventry,
2011,,Sponí«street,Spon street,
2011,,Sponí«STreet,Spon STreet,
2011,,Sponí«Street,Spon Street,
2011,,sponí«street,spon street,
2011,,sponí«street,spon street,
2011,,Sponí«STreet,Spon STreet,
2011,,Stí«georgesí«road,St georges road,
2011,," Stí«Georgesí«Road,í«Stoke"," St Georges Road, Stoke",
2011,,Stí«Lukesí«Roadí«Coventry,St Lukes Road Coventry,
2011,,Stonetí«Stantoní«Roadí«Policeí«Station,Stonet Stanton Road Police Station,
2011,," Stoneyí«Stantoní«Roadí«Policeí«Station,í«Coventry"," Stoney Stanton Road Police Station, Coventry",
2011,,Swanswellí«Park,Swanswell Park,
2011,,Tachbrookí«Close,Tachbrook Close,
2011,," Tarquiní«Close,í«Coventry"," Tarquin Close, Coventry",
2011,,Terryí«Road,Terry Road,
2011,," Terryí«Road,í«Coventry"," Terry Road, Coventry",
2011,,Theí«Bullí«Yardí«Cityí«Centre,The Bull Yard City Centre,
2011,,Theí«Bullyard,The Bullyard,
2011,,Theí«Burges,The Burges,
2011,,Theí«Burgess,The Burgess,
2011,,Theí«Burgess,The Burgess,
2011,,theí«burgess,the burgess,
2011,,theí«buttsí«Coventry,the butts Coventry,
2011,,Theí«Buttsí«Retreatí«PH,The Butts Retreat PH,
2011,,Theí«Croftí«Longford,The Croft Longford,
2011,," Theí«Forumí«medicalí«centre,í«Coventry"," The Forum medical centre, Coventry",
2011,,Thimblerí«Road,Thimbler Road,
2011,,tileí«hillí«laneí«coventry,tile hill lane coventry,
2011,,Torringtoní«Avenue,Torrington Avenue,
2011,,Trinityí«pointí«Link,Trinity point Link,
2011,,trinityí«street,trinity street,
2011,,trinityí«street,trinity street,
2011,,Trinityí«Street,Trinity Street,
2011,,trinityí«streetí«cityí«centreí«coventry,trinity street city centre coventry,
2011,,Universityí«Hospital,University Hospital,
2011,,Universityí«Hospital,University Hospital,
2011,,Universityí«Hospitalí«Coventry,University Hospital Coventry,
2011,," Unniversityí«ofí«Warwick,í«Coventry"," Unniversity of Warwick, Coventry",
2011,,upperí«sponí«st,upper spon st,
2011,,Vineí«Street,Vine Street,
2011,,Vineí«Street,Vine Street,
2011,,Vinecoteí«Road,Vinecote Road,
2011,,Wallaceí«Rd,Wallace Rd,
2011,,Walsgraveí«hospital,Walsgrave hospital,
2011,,Warwickí«Row,Warwick Row,
2011,,Warwickí«university,Warwick university,
2011,,Westí«Orchard,West Orchard,
2011,,Westí«Orchardsí«Circulatoryí«Road,West Orchards Circulatory Road,
2011,,Whiteí«street,White street,
2011,,willenhallí«laneí«coventry,willenhall lane coventry,
2011,,Willenhallí«Policeí«Stationí«Frontí«Office,Willenhall Police Station Front Office,
2011,,Willenhallí«PS,Willenhall PS,
2011,,Winnalthorpe,Winnalthorpe,
2011,,woodí«wayí«laneí«Coventry,wood way lane Coventry,
2011,,Wroxallí«Drive,Wroxall Drive,
2011,,Wroxhallí«Drive,Wroxhall Drive,
2011,Dudley,albioní«streetí«brierleyí«hill,albion street brierley hill,
2011,,Amblecoteí«Highí«Streetí«Stourbridge,Amblecote High Street Stourbridge,
2011,,Arleyí«Court,Arley Court,
2011,,Baptistí«Endí«Roadí«Netherton.,Baptist End Road Netherton.,
2011,," Bellí«St,í«Stourbridge"," Bell St, Stourbridge",
2011,,bellí«street,bell street,
2011,," Bellí«Street,Stourbridge"," Bell Street,Stourbridge",
2011,,BHPS,BHPS,
2011,," Birminghamí«Street,í«Stourbridge"," Birmingham Street, Stourbridge",
2011,,Bramfordí«Arms,Bramford Arms,
2011,,Brettleí«Lane,Brettle Lane,
2011,,Brickhouseí«Road,Brickhouse Road,
2011,," Brisbaneí«Road,í«Smethwick"," Brisbane Road, Smethwick",
2011,,Broadwayí«Stourbridge,Broadway Stourbridge,
2011,," Broadway,í«Stourbridge"," Broadway, Stourbridge",
2011,," Broadway,í«Stourbridge"," Broadway, Stourbridge",
2011,," Burmeseí«Way,í«Rowleyí«Regis"," Burmese Way, Rowley Regis",
2011,," Busí«station,í«dudley"," Bus station, dudley",
2011,,Carparkí«ofí«Maybrookí«Hosueí«iní«Halesowen,Carpark of Maybrook Hosue in Halesowen,
2011,,Carparkí«ofí«theí«Barleyí«Mowí«í«Highí«Streetí«Wollaston,Carpark of the Barley Mow  High Street Wollaston,
2011,,castlegateí«dudley,castlegate dudley,
2011,,Cinderí«Bankí«Islandí«Netherton,Cinder Bank Island Netherton,
2011,,Courtí«St,Court St,
2011,," Courthouseí«PH,í«sedgeley"," Courthouse PH, sedgeley",
2011,,Crabmillí«carparkí«Oldswinford,Crabmill carpark Oldswinford,
2011,,Cromptoní«Road,Crompton Road,
2011,," Crowní«Centre,í«stourbridge"," Crown Centre, stourbridge",
2011,,Dudleyí«Busí«Station,Dudley Bus Station,
2011,,dudleyí«Policeí«Station,dudley Police Station,
2011,,dudleyí«road,dudley road,
2011,," Dudleyí«Road,í«Brierleyí«Hill"," Dudley Road, Brierley Hill",
2011,," Edwardí«Rutlandí«PH,í«Highí«Street,í«Stourbridge"," Edward Rutland PH, High Street, Stourbridge",
2011,,Envilleí«Road,Enville Road,
2011,,Ferní«Rd,Fern Rd,
2011,," Fosterí«Street,Stourbridge"," Foster Street,Stourbridge",
2011,,Frontí«Officeí«BHPS,Front Office BHPS,
2011,," Frontí«office,í«Stourbridge"," Front office, Stourbridge",
2011,," Frontí«Office,í«Stourbridgeí«Policeí«station."," Front Office, Stourbridge Police station.",
2011,,Hagleyí«Road,Hagley Road,
2011,," Halesowení«Rd,í«Netherton"," Halesowen Rd, Netherton",
2011,,halesowení«towní«centre,halesowen town centre,
2011,," Hampdení«Close,Quarryí«Bank"," Hampden Close,Quarry Bank",
2011,," Herefordí«Road,í«Netherton"," Hereford Road, Netherton",
2011,,Highí«Stí«Stourbridge,High St Stourbridge,
2011,,highí«stí«stourbridge,high st stourbridge,
2011,,highí«stí«stourbridge,high st stourbridge,
2011,,highí«stí«stourbridge,high st stourbridge,
2011,," Highí«St,í«Dudley"," High St, Dudley",
2011,," Highí«St,í«Sedgely"," High St, Sedgely",
2011,," Highí«St,í«Stourbridge"," High St, Stourbridge",
2011,," Highí«St,í«Stourbridge"," High St, Stourbridge",
2011,," Highí«St,í«Stourbridge"," High St, Stourbridge",
2011,," Highí«St,í«Stourbridge"," High St, Stourbridge",
2011,," Highí«St,í«Stourbridge"," High St, Stourbridge",
2011,,Highí«Street,High Street,
2011,,Highí«Street,High Street,
2011,,Highí«Street,High Street,
2011,," Highí«Streetí«,í«Brierleyí«Hill"," High Street , Brierley Hill",
